Title,Place,Place_name_normalised,Type,Occurrences,Longitude,Latitude,ID_Wikidata
Primera parte,Béjar,Béjar,"Continente, país, región, ciudad, pueblo",1,-5.7619444444444,40.384722222222,Q695375
Primera parte,Berbería,Barbary Coast,"Continente, país, región, ciudad, pueblo",7,4,32,Q501768
Primera parte,Borgoña,Burgundy,"Continente, país, región, ciudad, pueblo",3,4.5,47,Q1173
Primera parte,Bretaña,Brittany,"Continente, país, región, ciudad, pueblo",1,-3,48,Q327
Primera parte,Cartagena,Cartagena,"Continente, país, región, ciudad, pueblo",1,-0.984166666666667,37.6019444444444,Q162615
Primera parte,Cartago,Carthage,"Continente, país, región, ciudad, pueblo",1,10.323461,36.852558,Q6343
Primera parte,Castilla,Castile,"Continente, país, región, ciudad, pueblo",5,-3.81666667,42.35,Q173063
Primera parte,Cataluña,Catalonia,"Continente, país, región, ciudad, pueblo",1,1.53777777777778,41.8375,Q5705
Primera parte,Catay,Cathay,"Continente, país, región, ciudad, pueblo",1,105,35,Q1050868
Primera parte,Chipre,Cyprus,"Continente, país, región, ciudad, pueblo",1,33,35,Q229
Primera parte,Compás de Sevilla,Compás de Sevilla,"Continente, país, región, ciudad, pueblo",1,-5.99951740422313,37.3858807617239,X
Primera parte,Constantinopla,Constantinople,"Continente, país, región, ciudad, pueblo",11,28.98,41.0125,Q16869
Primera parte,Córdoba,Córdoba,"Continente, país, región, ciudad, pueblo",2,-4.78,37.89,Q5818
Primera parte,Creta,Crete,"Continente, país, región, ciudad, pueblo",1,24.893333333333,35.309722222222,Q34374
Primera parte,Dinamarca,Denmark,"Continente, país, región, ciudad, pueblo",1,10,56,Q35
Primera parte,Egipto,Egypt,"Continente, país, región, ciudad, pueblo",1,29,27,Q79
Primera parte,España,Spain,"Continente, país, región, ciudad, pueblo",37,-3.5,40.2,Q29
Primera parte,Españas,Españas,"Continente, país, región, ciudad, pueblo",1,-3.5,40.2,Q29
Primera parte,Estrecho de Gibraltar,Strait of Gibraltar,Accidente geográfico,1,-5.51611111111111,35.9738888888889,Q36124
Primera parte,Estremadura,Extremadura,"Continente, país, región, ciudad, pueblo",5,-6.15,39.2,Q5777
Primera parte,Etiopía,Ethiopia,"Continente, país, región, ciudad, pueblo",2,40,9,Q115
Primera parte,Europa,Europe,"Continente, país, región, ciudad, pueblo",2,9.14062,48.690959,Q46
Primera parte,Fez,Fez,"Continente, país, región, ciudad, pueblo",1,-5.00333333333333,34.0433333333333,Q80985
Primera parte,Flandes,Flanders,"Continente, país, región, ciudad, pueblo",2,4.5,51,Q234
Primera parte,Florencia,Florence,"Continente, país, región, ciudad, pueblo",3,11.254166666667,43.771388888889,Q2044
Primera parte,Francia,France,"Continente, país, región, ciudad, pueblo",9,2,47,Q142
Primera parte,Gaeta,Gaeta,"Continente, país, región, ciudad, pueblo",1,13.566666666667,41.216666666667,Q128089
Primera parte,Goleta,La Goulette,"Continente, país, región, ciudad, pueblo",12,10.306377,36.819111,Q798445
Primera parte,Gran Bretaña,United Kingdom,"Continente, país, región, ciudad, pueblo",2,-2,54.6,Q145
Primera parte,Granada,Granada,"Continente, país, región, ciudad, pueblo",1,-3.6008333333333,37.178055555556,Q8810
Primera parte,Grecia,Greece,"Continente, país, región, ciudad, pueblo",7,23,38.5,Q41
Primera parte,Guadalajara,Guadalajara,"Continente, país, región, ciudad, pueblo",1,-3.1666666666667,40.633333333333,Q11953
Primera parte,Guadarrama,Guadarrama River,Accidente geográfico,1,-4.1691666666667,39.881944444444,Q16507
Primera parte,Guadiana,Guadiana,Accidente geográfico,2,-3.733,39.1316,Q14305
Primera parte,Guinea,Guinea,"Continente, país, región, ciudad, pueblo",2,1.243047,6.596835,Q207887
Primera parte,Henares,Henares river,Accidente geográfico,2,-3.5010694444444,40.4048,Q16510
Primera parte,Iberia,Iberia,"Continente, país, región, ciudad, pueblo",1,41.44,43.24,Q19083
Primera parte,India,India,"Continente, país, región, ciudad, pueblo",1,83,22.8,Q668
Primera parte,Indias,Indies,"Continente, país, región, ciudad, pueblo",6,-96,19,Q26219948
Primera parte,Inglaterra,England,"Continente, país, región, ciudad, pueblo",6,-1,53,Q21
Primera parte,Islas de Riarán,Arriarán,"Continente, país, región, ciudad, pueblo",1,-4.42180283068179,36.7173100160868,X
Primera parte,Israel,Israel,"Continente, país, región, ciudad, pueblo",1,35,31,Q801
Primera parte,Italia,Italy,"Continente, país, región, ciudad, pueblo",3,12.5,42.5,Q38
Primera parte,Italias,Italias,"Continente, país, región, ciudad, pueblo",1,12.5,42.5,Q38
Primera parte,Jerez,Jerez de la Frontera,"Continente, país, región, ciudad, pueblo",1,-6.1166666666667,36.7,Q12303
Primera parte,Jerusalén,Jerusalem,"Continente, país, región, ciudad, pueblo",1,35.2255555555556,31.7788888888889,Q1218
Primera parte,La Mancha,La Mancha,"Continente, país, región, ciudad, pueblo",50,-3.015,39.4011,Q844209
Primera parte,La Pata,Al-Batha,"Monumento, edificio, calle",1,45.877473,31.118872,Q12184507
Primera parte,La Rochela,La Rochelle,"Continente, país, región, ciudad, pueblo",1,-1.1513888888889,46.159444444444,Q82185
Primera parte,León,León,"Continente, país, región, ciudad, pueblo",3,-5.5669444444444,42.598888888889,Q15699
Primera parte,Lepanto,Nafpaktos,Accidente geográfico,1,21.8275,38.391666666667,Q782278
Primera parte,Lisboa,Lisbon,"Continente, país, región, ciudad, pueblo",1,-9.139016,38.708042,Q597
Primera parte,Lombardía,Lombardy,"Continente, país, región, ciudad, pueblo",1,9.95,45.65,Q1210
Primera parte,Londres,London,"Continente, país, región, ciudad, pueblo",1,-0.1275,51.507222222222,Q84
Primera parte,Lusitania,Lusitania,"Continente, país, región, ciudad, pueblo",1,-9.2,38.8,Q45
Primera parte,Málaga,Málaga,"Continente, país, región, ciudad, pueblo",1,-4.4166666666667,36.716666666667,Q8851
Primera parte,Mallorca,Mallorca,"Continente, país, región, ciudad, pueblo",4,2.9833333333333,39.616666666667,Q8828
Primera parte,Mantua,Mantua,"Continente, país, región, ciudad, pueblo",7,10.791111111111,45.156388888889,Q6247
Primera parte,Marruecos,Morocco,"Continente, país, región, ciudad, pueblo",1,-6,32,Q1028
Primera parte,Meca,Mecca,"Monumento, edificio, calle",1,39.826111111111,21.4225,Q5806
Primera parte,Montiel,Montiel,"Continente, país, región, ciudad, pueblo",4,-2.8622222222222,38.696388888889,Q1610078
Primera parte,Murcia,Murcia,"Continente, país, región, ciudad, pueblo",2,-1.1302777777778,37.986111111111,Q12225
Primera parte,Nápoles,Naples,"Continente, país, región, ciudad, pueblo",4,14.2486111111111,40.8358333333333,Q2634
Primera parte,Nueva España,New Spain,"Continente, país, región, ciudad, pueblo",1,-99.13333333,19.43333333,Q170603
Primera parte,Nueva Vizcaya,Nueva Vizcaya,"Continente, país, región, ciudad, pueblo",1,-104.657820783448,24.027101377007,Q118121
Primera parte,Olivera de Valencia,Olivera de Valencia,"Monumento, edificio, calle",1,-0.372387471164085,39.4730735142038,X
Primera parte,Orán,Oran,"Continente, país, región, ciudad, pueblo",3,-0.63305555555556,35.696944444444,Q131818
Primera parte,Osuna,Osuna,"Continente, país, región, ciudad, pueblo",4,-5.1030555555556,37.237222222222,Q586018
Primera parte,Percheles de Málaga,Percheles de Málaga,"Continente, país, región, ciudad, pueblo",1,36.7133601544001,-4.4304678010648,X
Primera parte,Persia,Iran,"Continente, país, región, ciudad, pueblo",2,53,32,Q794
Primera parte,Pirineo,Pyrenees,Accidente geográfico,1,1,42.666666666667,Q12431
Primera parte,Pisuerga,Pisuerga River,Accidente geográfico,1,-4.3729722222222,42.987055555556,Q14757
Primera parte,Playa de Sanlúcar,Playa de Sanlúcar,"Continente, país, región, ciudad, pueblo",2,36.7855756667803,-6.35961642102208,X
Primera parte,Plaza de Zocodover,"Plaza de Zocodover, Toledo","Monumento, edificio, calle",2,-4.021375,39.859455555556,Q2884002
Primera parte,Portugal,Portugal,"Continente, país, región, ciudad, pueblo",4,-9.1833333333333,38.7,Q45
Primera parte,Potro de Córdoba,Fountain del Potro,"Monumento, edificio, calle",2,-4.77492778,37.88115833,Q16569746
Primera parte,Puente de Mantible,Bridge of Mantible,"Monumento, edificio, calle",1,-2.50791666666667,42.51,Q3754535
Primera parte,Puerto Lápice,Puerto Lápice,"Continente, país, región, ciudad, pueblo",3,-3.4811111111111,39.324444444444,Q1630316
Primera parte,Rávena,Ravenna,"Continente, país, región, ciudad, pueblo",1,12.2016666666667,44.4161111111111,Q13364
Primera parte,Roma,Rome,"Continente, país, región, ciudad, pueblo",2,12.482777777778,41.893055555556,Q220
Primera parte,Roncesvalles,Roncevaux Pass,Accidente geográfico,5,-1.32416667,43.01972222,Q1305618
Primera parte,Roncesvalles,Roncevaux Pass,Accidente geográfico,3,-1.32416667,43.01972222,Q1305618
Primera parte,Salamanca,Salamanca,"Continente, país, región, ciudad, pueblo",4,-5.66416666666667,40.965,Q15695
Primera parte,Sargel,Cherchell,"Continente, país, región, ciudad, pueblo",3,2.18995708465634,36.607650717894,Q1617666
Primera parte,Segovia,Segovia,"Continente, país, región, ciudad, pueblo",3,-4.1183333333333,40.948055555556,Q15684
Primera parte,Segovia,Segovia,"Continente, país, región, ciudad, pueblo",2,-4.1183333333333,40.948055555556,Q15684
Primera parte,Sevilla,Seville,"Continente, país, región, ciudad, pueblo",11,-5.99555555555556,37.3886111111111,Q8717
Primera parte,Sierra Morena,Sierra Morena,Accidente geográfico,6,-5.4,38.3,Q686362
Primera parte,Sigüenza,Sigüenza,"Continente, país, región, ciudad, pueblo",1,-2.6391666666667,41.069166666667,Q47475
Primera parte,Tajo,Tagus River,Accidente geográfico,1,-1.6975,40.3197,Q14294
Primera parte,Tetuán,Tetuán,"Continente, país, región, ciudad, pueblo",3,-3.7,40.460556,Q1773540
Primera parte,Toboso,El Toboso,"Continente, país, región, ciudad, pueblo",60,-2.9980555555556,39.518055555556,Q1628505
Primera parte,Toledo,Toledo,"Continente, país, región, ciudad, pueblo",5,-4.0333333333333,39.866666666667,Q5836
Primera parte,Toscana,Tuscany,"Continente, país, región, ciudad, pueblo",1,11.016666666667,43.35,Q1273
Primera parte,Trapobana,Trapobana,"Continente, país, región, ciudad, pueblo",2,7,81,Q2002951
Primera parte,Troya,Troy,"Continente, país, región, ciudad, pueblo",1,26.238888888889,39.9575,Q22647
Primera parte,Trujillo,Trujillo,"Continente, país, región, ciudad, pueblo",1,-5.87817818416592,39.4599027880169,Q324489
Primera parte,Túnez,Tunis,"Continente, país, región, ciudad, pueblo",3,10.18,36.800833333333,Q3572
Primera parte,Úbeda,Úbeda,"Continente, país, región, ciudad, pueblo",1,-3.3716666666667,38.011666666667,Q329984
Primera parte,Universidad de París,University of Paris,"Monumento, edificio, calle",1,2.34361111111111,48.8486111111111,Q209842
Primera parte,Utrique,Utrecht,"Continente, país, región, ciudad, pueblo",1,5.26719291575259,52.1385630184864,Q803
Primera parte,Valencia,Valencia,"Continente, país, región, ciudad, pueblo",5,-0.75,39.5,Q5720
Primera parte,Valladolid,Valladolid,"Continente, país, región, ciudad, pueblo",1,-4.7285611111111,41.651980555556,Q8356
Primera parte,Valle de Terebinto,Valley of Elah,Accidente geográfico,1,34.99802,31.67542,Q862725
Primera parte,Vélez Málaga,Vélez-Málaga,"Continente, país, región, ciudad, pueblo",3,-4.0992542,36.7821366,Q492741
Primera parte,Venecia,Venice,"Continente, país, región, ciudad, pueblo",2,12.331944444444,45.439722222222,Q641
Primera parte,Ventillas de Toledo,Ventas de Toledo,"Monumento, edificio, calle",1,-4.01820421620112,39.8604918254402,X
Primera parte,Viso,Viso,"Continente, país, región, ciudad, pueblo",1,-4.95525634232817,38.4828995778808,Q879483
Primera parte,Zaragoza,Zaragoza,"Continente, país, región, ciudad, pueblo",1,-0.88333333333333,41.65,Q10305
